stamp_sec,stamp_nanosec,time_sec,pose_index,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw
1778134319,418643501,1778134319.4186435,13,odom,base_link,-6.405021667480469,0.04830680787563324,12.654624938964844,-0.0001377725134690646,-0.3465759053185471,0.0005284172377844941,0.9380217714139619
1778134320,420560311,1778134320.4205604,14,odom,base_link,-7.041989326477051,0.04993634298443794,13.219594955444336,-4.826593378981906e-05,-0.36644655269723025,0.0005085877035221398,0.9304389625468527
1778134321,450265516,1778134321.4502654,15,odom,base_link,-7.686495780944824,0.05429334193468094,13.77718734741211,8.86055978179112e-05,-0.38418005303915337,0.0003687251631551098,0.9232581129010649
1778134322,419276926,1778134322.419277,16,odom,base_link,-8.310259819030762,0.03749050945043564,14.233969688415527,-0.00037419591179146207,-0.40259677547844996,0.0006261616186795308,0.9153771377270689
1778134328,421954456,1778134328.4219544,17,odom,base_link,-12.865484237670898,-0.004420395940542221,16.429931640625,-0.001547050117234076,-0.5395886170422641,0.0006145654181661021,0.841927166270158
1778134330,420506791,1778134330.4205067,18,odom,base_link,-14.467865943908691,0.004689372144639492,16.820106506347656,-0.0013457243820114695,-0.5803930019345299,0.0007509808582441283,0.814335059026113
1778134331,422255161,1778134331.4222553,19,odom,base_link,-15.17551326751709,0.004323847591876984,16.973697662353516,-0.0015779705990397002,-0.5966077525710463,0.0006007663452023336,0.8025312072815063
1778134333,422606347,1778134333.4226062,20,odom,base_link,-16.721664428710938,0.006082870997488499,17.180261611938477,-0.0014771281466976543,-0.6247120878739042,0.0003331020803514077,0.780853708705843
1778134338,422379156,1778134338.4223793,21,odom,base_link,-20.60746192932129,-0.5619009733200073,17.59123992919922,-0.0035390113102374402,-0.6488681657605283,-0.002153808873684629,0.7608895714680608
1778134344,418684935,1778134344.418685,22,odom,base_link,-25.452245712280273,-0.5219968557357788,18.270971298217773,-0.0030865446885436987,-0.6523138168351007,-0.002175292949764849,0.7579395923874745
1778134352,426743262,1778134352.4267433,23,odom,base_link,-31.709980010986328,-0.49899357557296753,19.222307205200195,-0.0026362382245096135,-0.652092294445361,-0.002985178149594046,0.7581291304813602
1778134355,426206054,1778134355.426206,24,odom,base_link,-34.10948181152344,-0.4771450459957123,19.596399307250977,-0.00274837585114099,-0.6515199960960467,-0.0028721484729439793,0.7586210462940886
1778134358,426095847,1778134358.426096,25,odom,base_link,-36.492919921875,-0.4482724964618683,19.956857681274414,-0.002159588385887415,-0.6505657752222044,-0.002938006512947339,0.7594411605945952
1778134361,423935915,1778134361.423936,26,odom,base_link,-38.9118537902832,-0.415452778339386,20.337890625,-0.0021066523497395226,-0.6497025895808601,-0.0028962230940262224,0.760180056959923
1778134362,422466200,1778134362.4224663,27,odom,base_link,-39.657535552978516,-0.4194992482662201,20.427947998046875,-0.0023088062928226846,-0.6492507743149464,-0.003100233936113941,0.7605645863531157
1778134364,422421043,1778134364.422421,28,odom,base_link,-41.209075927734375,-0.3961035907268524,20.67973518371582,-0.00226915722680701,-0.6487702195847774,-0.003112864409309806,0.7609746140184762
1778134378,422251453,1778134378.4222515,29,odom,base_link,-50.482948303222656,-0.31569725275039673,22.11538314819336,-0.0020522937651652174,-0.6475913175901314,-0.003174129330466463,0.7619784763201467
